course_id,sec_id,year,semester,instructor_id,building,room_number,time_slot_id
ENTR 3486,3,1997,Summer II,14224,Brody,293,8:00
WOST 1286,3,1984,Summer,4916,Graham,172,15:30
ENVE 3742,1,1971,SPRING,12340,Science and Technology,305,14:30
PHIL 4551,1,1975,Summer,1833,Speight,112,14:30
NCST 4461,2,2002,spring,12951,Brody,375,15:30
BIOL 2390,1,2008,spring,12514,Rivers,293,14:30
ASLS 2379,1,1964,Summer,7304,Slay,135,19:30
IRHE 4087,2,1995,Summer II,12336,,285,9:30
GENS 1545,3,1985,SUMMER,14127,Slay,128,11:30
LDHE 1400,3,2008,Summer I,5629,Bate,106,17:00
SCIE 4440,2,2002,spring,15798,Health Sciences,118,11:30
RCTX 3691,1,1963,Summer II,13398,Brody,124,8:30
NUTR 2339,2,1966,SUMMER,8449,Brody,298,12:30
READ 4454,3,1962,SUMMER I,8385,Health Sciences,248,19:30
GIFT 1204,1,2018,Summer I,5957,Rivers,311,
HIED 1548,2,1972,Summer I,12035,Science and Techonology,232,9:00
GRAD 3304,3,1961,Fall,5690,Science and Techonology,228,9:00
TCHR 3254,2,2016,spring,8471,Howell,221,12:00
RONC 3529,3,2017,Spring,4662,Slay,387,17:30
MRCH 1173,1,1992,FALL,12705,Brewster,210,14:00
ECON 2039,3,2003,summer,11492,Flanagan,144,19:00
RCSC 2290,3,1982,Summer II,14016,Brody,325,12:00
SCIE 1140,3,2006,summer,11530,Graham,132,14:30
OMGT 4782,1,1986,SUMMER II,3247,Brody,217,
HUMS 2960,2,1973,FALL,5389,Brody,105,10:00
CSDI 3726,1,1994,summer,5281,Brody,342,15:30
JAPN 2489,2,1983,FALL,1843,Rivers,290,19:30
ADRE 3113,3,1970,Summer II,8388,Health Sciences,306,
PHYS 1006,3,1993,summer i,9841,Health Sciences,336,
SPED 2342,2,1968,SUMMER I,7313,Howell,291,14:30
PHLY 3472,2,1962,Summer,1241,Rivers,233,11:00
MGMT 2467,1,1967,spring,2839,Slay,151,8:30
MLSC 1065,3,1966,Summer,15998,Brody,197,17:30
HPRO 2041,3,1965,SUMMER I,15251,Science and Technology,355,16:30
RCSC 4328,3,2001,SUMMER I,5452,Speight,186,16:00
GRAD 3224,2,1992,SUMMER,14138,Howell,124,10:30
BITE 1322,3,1968,Summer II,9324,Bate,235,9:00
ATEP 1897,2,2019,SPRING,2244,Rivers,246,10:30
HIMA 2562,1,1984,fall,3578,Brewster,216,8:30
GIFT 2891,2,2005,summer ii,10483,Health Sciences,227,15:00
ATEP 2424,3,1988,Summer,14327,Bate,286,18:00
DRED 3789,1,2007,FALL,11558,Rivers,328,18:00
PHIL 4551,2,1972,SUMMER,7519,Slay,182,13:30
IPAM 4726,1,1975,Summer,13373,Brody,304,11:30
SPAN 3032,1,1986,summer,13938,Brody,324,18:30
HNRS 3924,2,1977,FALL,7161,Brody,147,18:30
ETHN 1606,3,1977,Summer,3541,Brody,372,18:30
MENG 3940,1,1996,SUMMER,1482,Brody,240,16:30
IDSN 4113,3,1989,SUMMER I,15869,Brody,249,8:30
COAD 2063,2,1977,spring,12302,Brody,322,11:30
ARTH 4482,1,1997,SUMMER II,7691,Howell,303,15:30
ATMO 2307,1,2005,spring,8914,Speight,212,14:30
IDIS 1793,1,2002,FALL,11859,Brewster,184,10:30
CLSC 4733,2,1991,Fall,7354,Health Sciences,336,11:30
COAD 3584,1,1996,spring,9657,Health Sciences,131,18:00
GIFT 4475,3,1978,Summer II,13696,Bate,130,16:30
NURS 2748,2,1997,SUMMER,7947,Brody,280,14:30
CLAS 3299,2,2005,Summer II,7611,Science and Technology,297,9:30
MRCH 1354,1,1967,SUMMER II,8244,Rivers,367,19:00
FILM 1309,1,1983,FALL,14141,Brody,174,18:30
FLGC 2315,3,1982,fall,12565,Health Sciences,340,11:30
MUSC 3370,1,1972,fall,2381,Brewster,374,12:00
COAD 1789,2,2021,summer i,10411,Rivers,306,15:00
ENTR 3780,3,1965,Summer II,3274,Flanagan,317,15:00
GLST 2913,1,2011,Summer,13255,Rivers,162,13:30
CMED 3815,1,2017,FALL,4508,Slay,284,16:00
PTHE 1725,1,1996,SUMMER,6857,Brody,122,18:30
CMED 1374,3,1977,Summer I,4070,Brody,306,14:00
BIME 1253,3,2000,SUMMER I,7619,Science and Technology,395,15:00
ECON 3599,2,2020,SUMMER,9139,Brody,193,9:30
CSDI 2221,1,1998,Summer II,7863,Brody,331,18:30
ANAT 2679,3,1959,summer ii,3886,Health Sciences,343,
ASLS 2080,3,1988,Summer II,13460,Bate,312,15:30
COAS 3599,1,2000,Summer,7630,Brody,129,15:30
DESN 4673,3,1988,FALL,13992,Brody,225,15:30
SUTO 4770,1,2000,fall,7502,Bate,356,
ADRE 4544,3,1996,FALL,3203,Rivers,340,17:00
MLSC 4331,3,1996,Summer II,1607,Brewster,275,19:30
SOCW 3230,2,1972,summer ii,11506,Graham,332,8:30
PUBH 3756,3,1970,fall,4572,Science and Techonology,147,8:00
OCCT 1689,3,2000,FALL,6230,Brody,290,12:00
ASLS 2091,1,2010,FALL,9864,Brewster,127,8:00
BISC 4778,3,1972,Spring,8108,Ragsdale Hall,336,18:00
ITAL 3119,1,1970,Summer II,5925,Health Sciences,286,19:30
ANTH 2547,1,1969,fall,14882,Speight,188,12:30
ADRE 2240,1,1961,Summer,1609,Brody,339,9:00
ADED 3252,1,1973,SUMMER II,9049,Brody,162,9:30
IRHE 3255,2,1976,Spring,13432,Flanagan,386,17:30
FILM 4535,1,1999,summer,9376,Ragsdale Hall,130,17:00
RONC 4759,2,2015,fall,2683,Rivers,169,15:00
ADRE 2240,1,2004,SUMMER,9942,Brody,227,
BIOE 1647,3,1964,SUMMER I,12484,Brody,360,9:30
READ 2585,1,1986,SUMMER II,6741,Brody,144,8:00
ECON 3747,1,1964,Summer,9617,Science and Techonology,332,12:00
IENG 2798,3,2006,SUMMER II,15461,Rivers,260,10:00
COAD 1643,3,1960,SPRING,14701,Brewster,254,
INTL 2450,2,1999,fall,2000,Slay,164,8:30
COHE 3039,1,1998,SUMMER,13599,Health Sciences,182,12:00
SCIE 4892,2,2011,SUMMER I,7634,Brody,229,13:30
MLSC 1651,2,1967,SUMMER,7820,Flanagan,255,
IPAM 3259,1,1998,Summer,8309,Slay,198,14:30
WOST 1201,3,1961,Summer,3628,Brody,371,10:00
FORL 1074,2,1969,summer,6228,Health Sciences,359,18:00
GEOG 2066,2,2014,SUMMER,10728,Brody,295,16:30
CLAS 2652,3,1961,SUMMER I,10943,Brewster,218,8:30
CSDI 2221,1,1997,SUMMER,12104,Science and Technology,268,16:30
PSYC 2186,2,1979,SPRING,3497,Howell,377,10:30
COAD 3584,3,1987,fall,6951,Brewster,236,18:00
CMED 4679,3,1989,spring,8536,Bate,272,13:30
PTHE 3771,2,1971,SPRING,14884,Brody,350,11:00
ART 4437,3,1987,spring,15812,Brody,346,10:00
ENGL 1067,2,1981,FALL,3128,Rivers,188,15:30
LING 1645,1,2016,SUMMER,2243,Science and Technology,234,16:00
OMGT 4595,3,1993,summer,1822,Brody,268,18:30
ASLS 2721,3,1975,Summer I,11290,Brewster,293,9:00
FACS 4074,2,1963,SUMMER I,11590,Brody,114,15:30
MAST 3157,2,2015,spring,7882,Rivers,185,16:00
KINE 4657,2,2001,Summer II,12245,Health Sciences,281,18:00
NEUR 2415,1,1991,FALL,5668,Brody,395,10:30
ANTH 1941,1,2007,Summer II,12826,Brewster,261,14:00
ETHN 3545,2,1969,Summer II,1719,Brody,375,14:00
BISC 1227,2,2002,SUMMER,11294,Brody,350,18:30
PHYS 4165,2,1962,SUMMER,10632,Brewster,135,17:30
SECS 4518,3,1990,Fall,6413,Speight,112,12:00
CMGT 1449,1,2010,Fall,15862,Rivers,215,12:00
COAS 1084,3,1981,Summer II,2311,Brody,139,16:00
FACS 2343,2,2013,summer,2173,Brewster,159,12:00
GRK 4033,1,2020,FALL,1726,Brody,305,17:00
MATH 3795,3,1988,summer ii,6205,Rivers,385,17:00
ASLS 1916,3,1979,summer ii,10680,Science and Techonology,237,12:00
GRAD 1898,1,1970,summer i,14388,Flanagan,375,10:00
GRAD 3224,3,1987,summer i,10585,Flanagan,315,13:00
COAD 2099,1,1977,SUMMER,3336,Rivers,383,19:00
EENG 4703,3,1989,Summer,9576,Brody,205,8:00
ICTN 2662,2,1967,Spring,15469,Graham,351,13:30
MULT 4858,2,2020,Summer,2364,Rivers,129,14:30
IDSN 3840,1,2016,SUMMER,3705,Brody,195,9:00
NURS 1124,2,1997,summer,5851,Bate,214,14:00
RONC 2106,3,1960,FALL,15638,Brody,112,17:30
GRK 4642,1,1986,Summer I,6240,Health Sciences,279,17:30
SPED 1220,3,1965,Summer,3417,Brewster,154,15:00
SUTO 2134,3,2019,Fall,11640,Rivers,250,13:30
NCST 2175,3,1986,SUMMER,6561,Rivers,148,17:00
SOCI 1163,2,2003,Summer I,7270,Brody,203,15:30
RCSC 1865,2,1979,SPRING,11827,Speight,135,19:30
HDFS 2939,3,2020,summer i,11109,Science and Technology,240,14:00
ART 4842,1,1967,FALL,3775,Rivers,147,18:00
MUSC 4191,2,1984,FALL,3607,Speight,131,9:30
ATMO 4395,2,1975,summer,2745,Science and Technology,334,15:00
ENGL 1073,1,1994,fall,1657,Health Sciences,154,9:30
MKTG 2782,2,1985,spring,13322,Howell,203,8:30
CHEM 1054,2,2005,summer ii,9041,Speight,219,16:00
HIST 3550,1,2017,SUMMER II,4076,Slay,129,19:30
PHYS 2948,3,1961,spring,6369,Brewster,241,14:00
WOST 3782,3,1983,summer ii,2645,Brody,134,17:30
COHE 3358,3,1964,Summer I,2455,Health Sciences,379,12:30
ETHN 1400,3,1959,summer,9447,Brody,323,12:00
ENVE 2309,3,1992,Summer I,7585,Austin,223,13:00
TCHR 4198,1,1974,spring,10833,Brody,284,8:00
DNCE 4379,1,1991,SUMMER,15596,Brody,226,12:30
NEUR 2416,2,1974,fall,2648,Brody,292,16:30
ONCO 2906,1,2001,SPRING,5252,Brewster,265,8:00
WOST 3655,1,1972,SPRING,13525,Brody,314,11:30
DESN 4255,1,2003,SUMMER,14772,Brewster,388,16:30
SPED 1335,3,1974,SUMMER,7612,Brody,267,10:30
PUBH 4028,3,1996,SUMMER,15663,Brody,105,10:00
MPH 2509,3,1995,SUMMER I,11958,Brody,381,13:30
GEOG 3963,3,1976,Summer I,10788,Ragsdale Hall,282,16:00
EDUC 2695,3,2010,SPRING,8507,,236,8:30
MRST 3050,2,1989,SUMMER,12297,Brewster,123,9:00
ETHN 2568,2,2021,Summer I,8649,Brody,128,19:30
SAFT 4043,2,1978,SPRING,9416,Slay,252,19:30
TESL 4051,1,2020,Spring,9510,Bate,155,10:30
NURS 1124,3,1968,summer i,14820,Slay,208,16:30
KINE 1153,2,1966,fall,9717,Brewster,372,12:30
OMGT 2292,3,1973,Spring,5546,Rivers,324,18:00
ELEM 2883,3,2007,SPRING,5064,Science and Techonology,266,14:00
ENTR 1400,1,2016,SUMMER I,1160,Health Sciences,305,13:00
IRHE 2113,1,2007,FALL,14208,,300,15:00
LING 1624,1,1987,SUMMER II,12133,Science and Techonology,346,15:00
CHIN 1251,2,1974,fall,3889,Bate,246,18:30
ENGL 1063,2,2003,SUMMER II,10071,Brewster,234,10:00
RCSC 2620,1,2010,fall,3192,Howell,106,11:30
IDSN 2740,2,2014,Summer,8928,Rawl,239,13:30
ANTH 1058,1,2021,Fall,2024,Science and Technology,357,10:00
HDFS 3252,3,1984,summer ii,13966,Brewster,301,16:00
SAFT 3812,2,1996,SPRING,13494,Rivers,210,17:00
CSDI 1404,1,1963,Spring,2289,Flanagan,268,19:30
ASIA 1346,3,1965,SUMMER I,2769,Health Sciences,185,19:30
AAAS 3500,1,1964,spring,7954,Brody,290,13:00
SPED 1897,3,1998,summer,2090,Brewster,310,13:30
PUBH 3558,3,1992,SPRING,13985,Rivers,141,19:30
BIOC 3737,2,1961,SUMMER II,3918,Brody,106,16:00
CLSC 3594,1,2016,summer ii,2106,Speight,219,12:00
ENED 3606,1,2014,spring,13504,Science and Technology,386,13:00
READ 3239,3,2021,SUMMER I,6738,Bate,262,13:30
TESL 4051,2,1985,SUMMER,14098,Brody,143,15:00
CLSC 2377,1,1968,SUMMER,15733,Health Sciences,170,9:30
DESN 1203,2,1992,Summer I,12650,Bate,311,15:30
NURS 3999,1,1972,Fall,12004,Brody,133,
CSDI 1198,1,1995,SPRING,10906,Rivers,123,10:30
RELI 1585,2,1966,FALL,1453,Health Sciences,110,19:00
MPH 4716,2,1968,SUMMER,10550,Slay,152,15:00
ADRE 3643,1,1978,Summer II,7175,Science and Technology,175,18:00
NEUR 4225,1,2018,SUMMER,6139,Health Sciences,109,19:00
AERO 1438,3,1998,summer,10524,Howell,333,17:30
PSYC 3406,1,1982,Spring,8836,Rivers,124,15:30
KINE 3925,3,2003,Spring,2123,Ragsdale Hall,123,11:30
GRK 4393,2,1964,SUMMER,4943,Speight,217,16:30
LATN 3554,3,1975,Spring,7879,Science and Techonology,156,14:00
OCCT 1176,3,2018,Summer,12251,Brody,126,16:00
LDHE 4546,1,1984,SUMMER,11931,Slay,343,10:30
SOCI 4153,1,1977,Summer,1181,Howell,210,
LEED 1936,3,2006,SUMMER II,8467,Science and Techonology,262,12:00
HPRO 4099,2,1982,SUMMER,6703,Brewster,352,17:30
IRHE 4086,3,1982,SUMMER II,4365,Brewster,215,17:00
GRAD 3304,1,1968,summer,12197,Bate,380,12:30
AERO 3803,3,2001,SPRING,14076,Flanagan,330,14:00
SENG 1016,3,1964,Fall,11821,Brody,342,19:30
PLAN 4639,2,1991,summer,12944,Science and Technology,275,11:00
UNIV 2933,3,2015,Spring,2063,Brody,384,12:00
FINA 4165,2,2014,summer ii,5037,Brody,121,18:30
GENS 1738,2,1987,fall,13850,Brody,397,11:30
GERM 2911,3,1964,Spring,1066,Brewster,181,13:30
RELI 2035,2,2006,summer ii,6877,Howell,368,17:30
ASLS 4254,3,1985,SPRING,2333,Brody,277,8:00
ENTR 1773,3,1983,SPRING,3492,Health Sciences,304,9:30
SOCI 3397,3,2010,summer i,11685,Brody,344,15:30
ICS 1237,3,1995,spring,5424,Bate,186,13:30
SCIE 3449,3,2012,summer i,6312,Brody,393,14:30
MATE 1325,3,1996,FALL,3406,Brody,357,12:30
HIED 3740,2,1991,Summer,12742,Austin,186,13:00
SOCW 4220,3,1998,spring,1473,Brody,161,12:00
JUST 1900,2,2019,SUMMER,11999,Flanagan,217,
ASLS 4180,1,1996,SPRING,13547,Brody,354,13:00
NURS 1342,2,1989,Summer II,14540,Science and Technology,143,12:00
ANTH 1535,2,2018,Summer,1015,Brody,208,9:30
MKTG 2782,1,1983,Summer,10280,Brody,236,17:30
MCBI 4043,3,1997,summer ii,11150,Rivers,110,9:30
GENS 3160,2,1991,Fall,8824,Flanagan,366,
CHIN 3374,2,1999,spring,15777,Brody,180,10:00
RCSC 2530,3,1960,SUMMER II,2850,Health Sciences,156,18:30
GRAD 3204,3,1963,Fall,2853,Brody,144,17:30
PHIL 4595,3,1968,summer ii,14779,Rivers,211,17:00
ENTR 2136,1,1974,Spring,11922,Flanagan,324,18:00
IDIS 2581,3,1969,summer i,7102,,231,18:30
ENGR 4220,3,1975,Summer I,3129,Speight,346,16:00
RUSS 4774,3,1968,summer i,2868,Brody,277,14:00
MATE 2245,2,2001,Summer,2583,Rivers,385,13:30
CSDI 1404,1,1969,summer i,14105,Brody,170,18:00
BIME 2565,3,1995,SUMMER,2424,Brody,197,10:00
KINE 4701,2,1970,fall,8900,Rivers,168,16:30
COAD 4610,2,2007,Spring,7905,Bate,360,9:30
PHYS 4165,3,1995,SUMMER,11868,Slay,324,10:00
MIDG 2765,3,1965,Summer,6695,Brody,200,15:30
MAST 2689,2,1964,SPRING,10384,Flanagan,206,10:00
SAFT 2083,3,1979,Fall,4452,Brody,298,12:30
EENG 3925,1,2010,Summer,10374,Rivers,400,18:00
ECON 3599,2,1977,Summer,5016,Brody,252,15:30
ITEC 2707,2,1967,fall,7393,Austin,210,15:00
ADRE 4520,2,1969,SUMMER,11616,Brody,304,12:00
CHEM 4479,1,2012,Fall,13144,Slay,350,11:30
MULT 4858,3,2013,SUMMER II,4500,Science and Technology,316,17:00
GIFT 1243,3,2015,summer ii,5333,Brewster,177,15:00
PHYS 4188,3,2021,summer i,13447,Slay,125,19:00
GEOG 3795,3,1982,FALL,4653,Rivers,355,14:00
EENG 4703,3,2003,SUMMER,3735,Rivers,225,14:30
JAPN 2334,3,2003,Summer I,11772,Bate,239,18:30
COAS 3702,2,2008,SPRING,9799,Brody,339,17:30
HSMA 4393,2,1998,summer i,9554,Brody,324,11:30
BMSC 2874,2,2018,SUMMER II,15426,Brody,303,10:00
GEOL 3421,1,2014,summer,10482,Rivers,142,11:30
MKTG 2782,1,1986,summer,9544,Health Sciences,261,16:00
ATEP 3375,3,1962,Spring,2330,Brody,273,19:30
SOCI 4595,1,2012,Summer I,5399,Speight,314,8:00
FLGC 1286,3,1963,fall,8173,Rivers,129,14:30
PLAN 3811,2,1994,SUMMER,10090,Brewster,215,14:00
SPAN 3575,3,1976,summer ii,15369,Speight,365,16:30
RONC 2599,3,1999,summer ii,3676,Health Sciences,133,19:30
BIOE 3941,3,2011,spring,6001,Brody,288,19:00
HNRS 3142,3,1965,Summer I,11366,Bate,367,10:00
PHYS 2585,1,2011,SUMMER II,15957,Austin,117,
MKTG 1233,1,1978,SUMMER II,13768,Brody,348,14:30
MATH 2717,2,2017,summer i,10095,Rivers,142,13:30
IRHE 4679,3,2007,Fall,12391,Brewster,298,8:30
ADRE 3163,3,1993,Summer I,14899,Slay,155,10:00
SECS 3832,1,1994,Summer I,11370,Bate,367,16:30
MLSC 2994,3,1983,Spring,13160,Brody,284,11:30
GRAD 3485,2,1982,Summer II,8013,Bate,392,15:00
IENG 4848,2,1987,Summer II,8581,Brody,133,9:00
GLST 3670,2,1990,fall,9400,Rivers,143,9:30
GEOG 2589,3,1995,SUMMER II,1185,Bate,356,16:00
ISE 1515,3,1962,summer ii,8426,Rivers,134,13:30
RELI 3143,2,1980,SUMMER II,15665,Brody,223,15:00
GRK 3628,2,2021,summer,1328,Brody,307,8:30
SOCI 3986,2,1985,fall,13389,Rawl,330,10:00
HIED 1658,1,1999,summer ii,3505,Rivers,218,
SPAN 4611,1,2004,SUMMER,13058,Brewster,312,17:30
PUBH 2531,1,1967,SUMMER,13998,Speight,163,9:30
BISC 2129,3,2014,FALL,8324,Brewster,351,18:30
NEUR 3514,1,2005,SUMMER,7754,Brody,342,10:30
ICS 1821,2,1972,summer ii,11746,Brody,202,10:00
ENTR 3628,1,2017,Fall,8160,Speight,332,9:00
PADM 1530,1,1974,SUMMER,4092,Speight,347,18:00
ENED 4654,1,2014,FALL,2217,Science and Technology,370,10:30
NUTR 2366,2,1970,SUMMER,15587,Brewster,254,17:30
MLSC 1760,1,1960,SUMMER,14019,Brody,387,17:00
IDSN 1221,2,1960,SPRING,15006,Bate,361,14:00
SPED 3237,2,2006,SUMMER,1600,Slay,319,14:00
RELI 2672,3,1993,SUMMER II,2812,Brody,224,
HNRS 2268,3,1972,spring,14188,Rivers,307,17:00
RONC 4215,3,1976,fall,9528,Brody,318,16:00
RUSS 3380,1,1983,SUMMER,8956,Slay,303,15:00
BISC 2360,2,2005,SUMMER II,8853,Brody,331,8:00
PLAN 1789,3,1990,Summer,4254,Brody,320,
AAAS 3435,1,1984,fall,13253,Brody,107,11:30
ADED 2625,1,1994,SUMMER II,4256,Howell,280,16:30
MPH 2625,1,1994,SUMMER,10702,Health Sciences,138,10:30
RUSS 2231,3,2003,Fall,4738,Flanagan,296,12:00
RCTX 4190,2,1992,fall,5861,Ragsdale Hall,213,9:00
KINE 3759,2,2010,SPRING,1421,Slay,331,16:00
RONC 1019,3,1962,SUMMER II,9339,Flanagan,153,16:00
SUTO 2134,2,2015,Spring,1720,Science and Technology,142,11:30
MAST 2468,1,2014,summer i,13427,Flanagan,304,10:30
ICS 4728,3,1994,SUMMER,14872,Brewster,246,17:30
MATE 4886,2,2009,summer i,14572,Austin,163,13:00
MAST 3979,1,1972,SUMMER,3926,Howell,228,14:00
INTL 4647,1,2015,Spring,8295,Brody,316,16:30
GEOG 1759,1,1976,spring,15527,Health Sciences,196,12:00
